1,8405270,759101,4226,E1
2,8405259,759095,4227,R1
3,8405273.119,759107.441,4225.906,
4,8405265.123,759087.834,4225.668,
5,8405261.153,759088.777,4226.028,
6,8405250.293,759052.519,4226.504,
7,8405254.889,759049.718,4226.429,
8,8405246.097,759039.688,4225.208,
9,8405244.698,759034.573,4225.241,
10,8405240.815,759030.546,4225.732,
11,8405247.012,759014.772,4225.852,
12,8405257.622,759033.358,4223.105,
13,8405278.58,759036.772,4222.094,
14,8405277.496,759041.041,4220.86,
15,8405274.022,759047.423,4220.71,
16,8405273.509,759056.799,4222.711,
17,8405282.511,759064.824,4221.643,
18,8405285.962,759063.194,4220.008,
19,8405292.385,759071.517,4221.33,
20,8405296.168,759068.372,4220.022,
21,8405301.266,759060.604,4220.926,
22,8405311.241,759046.16,4221.376,
23,8405309.424,759067.369,4220.595,
24,8405306.412,759070.161,4219.954,
25,8405295.261,759080.903,4220.879,
26,8405294.519,759080.125,4220.89,
27,8405296.399,759094.244,4220.9,
28,8405295.709,759095.121,4220.908,
29,8405295.164,759096.541,4221.698,
30,8405303.157,759093.765,4220.873,
31,8405304.063,759094.426,4220.896,
32,8405303.714,759095.983,4220.766,
33,8405298.033,759096.618,4220.85,
34,8405298.7,759105.303,4220.871,
35,8405304.457,759104.809,4220.769,
36,8405304.746,759103.968,4220.595,
37,8405306.212,759107.492,4221.615,
38,8405308.016,759098.177,4221.297,
39,8405338.306,759114.455,4219.874,
40,8405362.421,759138.006,4219.33,
41,8405340.948,759135.912,4220.277,
42,8405329.797,759135.815,4220.461,
43,8405324.071,759137.626,4220.695,
44,8405325.465,759143.053,4220.742,
45,8405314.657,759142.916,4221.441,
46,8405280.049,759150.941,4224.757,
47,8405280.162,759150.847,4224.758,
48,8405275.333,759145.66,4224.847,
49,8405277.805,759125.324,4225.277,
50,8405272.318,759123.01,4225.721,
51,8405321.188,759115.234,4220.505,
52,8405321.181,759115.259,4220.503,
53,8405321.181,759115.259,4220.503,E2
54,8405270,759101,4226,R2
55,8405276.525,759100.182,4224.839,
56,8405282.501,759089.282,4223.231,
57,8405289.879,759099.343,4222.743,
58,8405290.547,759100.814,4222.672,
59,8405292.168,759100.383,4222.497,
60,8405291.659,759098.473,4222.551,
61,8405294.023,759099.804,4222.3,
62,8405306.962,759092.179,4220.936,
63,8405305.596,759092.344,4221.042,
64,8405306.624,759089.45,4220.96,
65,8405305.308,759089.576,4221.014,
66,8405309.793,759090.401,4220.761,
67,8405312.471,759088.863,4220.508,
68,8405329.193,759084.156,4219.458,
69,8405347.732,759083.019,4219.381,
70,8405338.725,759093.844,4219.325,
